a,c,vol,hmix,hform
0.25,0.5,11.32845606,-0.069886778,-0.010186123
0.333333333,0.5,11.83002489,0.035728318,0.089238442
0.5,0.166666667,11.20948172,0.064314265,0.102786078
0.166666667,0.333333333,10.75597025,0.053601622,0.118164185
0.166666667,0.5,10.7075837,0.05014248,0.116033667
0.166666667,0.666666667,11.22254876,-0.011585345,0.055634465
0.666666667,0.166666667,11.43010256,-0.065415382,-0.039324632
0.166666667,0.166666667,10.77019834,0.039460955,0.102694895
0.375,0.5,11.13804907,0.003956864,0.054371721
0.375,0.125,11.00876821,0.033483253,0.080908708
0.5,0.375,11.49051657,-0.068575451,-0.028442859
0.5,0.125,11.32610431,0.008537381,0.046677039
0.125,0.375,10.66995537,0.03839498,0.106384965
0.125,0.5,10.898232,0.022399208,0.09138566
0.375,0.25,11.41711047,-0.038088609,0.010333314
0.375,0.375,11.19962564,0.003442256,0.052860646
0.25,0.625,11.33273925,-0.025669733,0.03502739
0.625,0.25,11.37913231,-0.070694205,-0.040843878
0.125,0.625,11.30102858,-0.039022475,0.030960445
0.25,0.375,10.85848844,0.025246673,0.08395086
0.25,0.25,11.34459459,-0.01506366,0.04264406
0.75,0.125,11.25155798,-0.124819671,-0.105251609
0.125,0.75,11.26628001,-0.001979635,0.068999753
0.125,0.125,10.62556915,0.036112254,0.102109304
0.125,0.25,10.81603572,0.037226279,0.104219796
0.25,0.125,10.65194964,0.041500936,0.098212189
0.625,0.125,11.5400963,-0.064026016,-0.035172156
0.5,0.25,11.80301207,-0.041030635,-0.00189451
0.333333333,0.333333333,11.06467417,-0.007511497,0.044670003
0.333333333,0.666666667,10.90704666,-0.027626793,0.05197408
0.5,0.5,10.99851087,-0.047283338,0.030988913
0.666666667,0.333333333,11.1492255,-0.038720545,0.038223082
0.375,0.625,10.94817492,-0.033352729,0.045915989
0.555555556,0.444444444,10.51430524,0.045936922,0.123766298
0.571428571,0.428571429,10.55610522,0.031939561,0.109642401
0.444444444,0.555555556,10.8218837,0.024393769,0.103108893
0.4,0.6,10.85662519,0.026087614,0.105157038
0.28125,0.71875,10.47886891,0.044995469,0.125011538
0.285714286,0.714285714,10.88296589,0.026731914,0.106712394
0.166666667,0.833333333,11.06235386,-0.02081995,0.060109547
0.0625,0.9375,11.12263979,0.041300677,0.123060563
0.03125,0.96875,11.72723507,0.075748698,0.157757701
0.111111111,0.888888889,11.10781688,-0.005716956,0.075655416
0.125,0.875,10.83345122,0.023582738,0.10484439
0.25,0.75,11.01383929,-0.06118336,0.019081825
0.6,0.4,10.82554851,0.00416759,0.081642666
0.75,0.25,11.12604887,-0.026771665,0.04950765
0.875,0.125,10.74843338,0.033000706,0.108283554
0.888888889,0.111111111,10.9394619,0.032982539,0.108154668
0.833333333,0.166666667,11.22997504,-0.025969738,0.049645265
0.625,0.375,10.97262256,-0.018821944,0.058453839
0.857142857,0.142857143,10.60513612,0.042998944,0.118424144
0.8,0.2,10.57819498,0.040758814,0.116639542
0.333333333,0,11.38972155,0.013758088,0.063282342
0.5,0,11.69800982,-0.190889369,-0.153746179
0.28125,0,10.69610716,0.031867004,0.08526034
0.111111111,0,11.53728541,0.004082728,0.070115066
0.125,0,10.76681148,0.041620918,0.1066215
0.25,0,11.859482,-0.056535095,-0.00082031
0.4,0,11.7807863,0.0088282,0.053400028
0.2,0,10.75684783,0.038700666,0.09812977
0.166666667,0,10.77830744,0.03725701,0.099162327
0.375,0,11.61796805,-0.081045304,-0.034616316
0.444444444,0,12.00716585,0.013536068,0.054806279
0.8125,0,11.3227157,-0.04105323,-0.027124534
0.666666667,0,11.48401322,-0.022562697,0.00219943
0.6875,0,11.64833162,-0.00176264,0.021451853
0.75,0,11.35871276,-0.156065508,-0.137493913
0.84375,0,11.21714391,-0.067412382,-0.055805135
0.875,0,11.17114069,-0.058724719,-0.049438921
0.888888889,0,11.859482,-0.025682434,-0.017428392
0.9375,0,11.02903781,-0.028243691,-0.023600792
0.833333333,0,11.23287798,-0.080027007,-0.067645943
0.96875,0,10.9751627,-0.01597746,-0.013656011
0.03125,0,10.67219978,0.041829123,0.113794054
0.142857143,0,10.67107941,0.044396874,0.108070914
0,0.2,10.91384008,0.05545526,0.121261756
0,0.111111111,11.23008478,0.002959322,0.076077651
0,0.125,11.24969754,0.030846773,0.102822628
0,0.333333333,11.29351353,-0.045576992,0.009261755
0,0.166666667,11.40938688,-0.020065585,0.048482848
0,0.142857143,11.37151287,-0.022712453,0.047794507
0,0.1,10.87026541,0.027411039,0.101443347
0,0.25,11.5529595,-0.04464807,0.01704552
0,0.4,11.42319015,-0.092249994,-0.042895122
0,0.5,11.32900081,-0.110381745,-0.069252685
0,0.6,11.24781676,-0.09762983,-0.064726582
0,0.625,11.25040229,-0.107095265,-0.07624847
0,0.666666667,11.20639265,-0.101678185,-0.074258812
0,0.75,11.13639611,-0.11336873,-0.0928042
0,0.833333333,11.04828045,-0.079764518,-0.066054832
0,0.875,11.003775,-0.05768626,-0.047403995
0,0.888888889,10.99230571,-0.064299791,-0.05516
